COG Customer Item Number,TEC Item Number,Item Descripton,Supplier Code,Subcategory,Price
360000,TAP40CUSTR-05,4/0 AWG CU 19 STR SD HENDRIX TAP WIRE 500FT NRR TPR COVER,HEN03,3WIRERISER ,15.72
360002,RISER 2/0 STR CU 500FT NRR,2/0  CU 19 STR XLP RISER 500FT NRR,NEH02,3WIRERISER ,3.73
360004,RISER 500 STR CU 500FT NRR,500 AWG CU 37STR RISER 500FT NRR,NEH02,3WIRERISER ,12.95
360008,215FTI,INSERT 15KV FEED-THRU,ARK05,3MLDRUBBER ,144.52
360011,215-ICI,CAP INSULATED W/ GRD 15KV (167DRG(3)),ELE05,3MLDRUBBER ,25.44
3600112,215LE58T,LOADBREAK ELBOW 15KV 200A 4/0 STR  W/ TEST POINT,CIT05,3MLDRUBBER ,0
360013,162LR-C5240,ELBOW LOADBREAK 15KV 1/0 STR 0.805 - 1.06 W/TEST POINT,THO05,3MLDRUBBER ,41.38
360015,161SOP,STAND PARKING 15KV,THO05,3MLDRUBBER ,40.21
360017,4/0 25KV AL 1C EPR 1/3N 2500,4/0 25KV AL STR EPR 260MIL 1/3N 2500FT NRR,CME02,3WIREMV    ,8.81
360019,274J3,JUNCTION 25KV 3 POINT WITH STAINLESS STEEL BRACKET,THO05,3MLDRUBBER ,482.04
360021,274J4,JUNCTION 25KV 4 POINT WITH SS BRACKET,THO05,3MLDRUBBER ,360.49
360021,LJ225C4B,JUNCTION 25KV 4 POINT WITH SS BRACKET,COO02,3MLDRUBBER ,280.6
360022,274J4-5,JUNCTION 25KV 200A 4 POINT W/ STRAP [NEW CAT # 274J4(1)-5],THO05,3MLDRUBBER ,278.88
360023,2701A4,BUSHING INSERT LOADBREAK 25KV,THO05,3MLDRUBBER ,39.92
360024,228LE45T,ELBOW LOADBREAK 28KV 200A 2/0 SOL W/ TEST POINT,CIT05,3MLDRUBBER ,0
360024,276LR-CC5240,ELBOW LOADBREAK 25KV 1/0 0.80 -1.06  W/ TEST PT,THO05,3MLDRUBBER ,46.88
360025,262LR-D5270,ELBOW LOADBREAK 25KV 4/0 STR W/ TEST POINT,THO05,3MLDRUBBER ,54.8
360027,K650ETP,PLUG REDUCING TAP 600A DEADBREAK TO 200A LOADBREAK 25KV,THO05,3MLDRUBBER ,177.46
360029,625BES,BUSHING EXTENDER/STUD 25KV,CIT05,3MLDRUBBER ,0
360030,PLPC225,CAP INSULATING 25KV 200A,COO02,3MLDRUBBER ,40.73
360031,K656DR,CAP INSULATING 15/25 KV 600A W/ TEST POINT & STUD,THO05,3MLDRUBBER ,81.86
360033,164J4-5,JUNCTION 15KV 4 POINT WITH STRAPS,THO05,3MLDRUBBER ,165.16
360033,K650J4,JUNCTION 25KV 4 POINT 600A DEADBREAK,THO05,3MLDRUBBER ,398.03
360034,MB-5,BRACKET TERMINATOR FOR 1.45-1.95 CABLE OD,3M002,3TERMINATO ,50.46
360038,7653-S-4-4/0-GUS,TERMINATOR COLD SHRINK 4/0 15/25 KV  W/ STEM CONN & MNT  BRKT RISER  BOOT,3M002,3TERMINATO ,0
360040,AM303022262,ENCLOSURE SECTIONALIZING 1PH 22D X 30W X 30H 14GA 25KV RATING,DUR03,3STEELENCL ,464.2
360042,BMSSE226630TPH-121,ENCLOSURE SECTIONALIZING 3PH 22D X 66W X 30H 12GA STEEL,BAR04,3STEELENCL ,1056.75
360043,77-1-1/2INX20FT,TAPE ELECTRICAL 1-1/2INX20FT BLK,3M002,3TAPE      ,0
360044,MB-6,BRACKET TERMINATOR FOR 1.80-2.40 CABLE OD,3M002,3TERMINATO ,59.76
360048,WOFFORD 500QUAD 1000FTNRR,500 MCM AL QUAD 500-500-500-350 URD 1000FT NRR,CME02,3WIREUDSEC ,4.62
360050,CP74002PPPB,SECTIONALIZER 27KV 125KV BIL PROGRAMMABLE 10A - 480A 3 COUNT STD W/POLY MOUNTING ASSY,ARK05,3SECTIONAL ,0
360051,PVI41-386-12-12,INSULATED DEADFRONT PDMNT 4 WAY SWITCH 25KV 125KV BIL SF6,RYA03,3SWITCHURD ,73348.15
360053,NOTRE DAME 1500FT NRR,1/0 AWG AL QUAD 1/0-1/0-1/0-2 URD 1500FT 48X28X24 NRR,CME02,3WIREUDSEC ,1.57
360054,WAKEFOREST 1500FT NRR,4/0 AWG AL QUAD 4/0-4/0-4/0-2/0 URD 1500FT 54X32X24 NRR,CME02,3WIREUDSEC ,3.68
360056,SWEETBRIAR 1000FT NRR,4/0 AWG AL TRIPLEX 4/0-4/0-2/0 URD 1000FT 42X26X18 NRR,CME02,3WIREUDSEC ,2.99
360058,PVI42-386-12-9,INSULATED DEADFRONT PDMNT 4 WAY SWITCHGEAR 3 PHASE 25KV 125KV BIL,GWE02,3SWITCHURD ,45091.36
360062,50 DV-240/120 PAD,PAD 50 KVA 14400X7200 240/120 1PH,GEP01,3TRANURD1P ,2636.61
360065,167 DV-240/120 PAD,PAD 167 KVA 14400X7200 240/120 1PH,GEP01,3TRANURD1P ,4621.15
360069,150 DV-208/120 3PH PAD,PAD 150 KVA 14400X7200 208/120 3PH,ERM02,3TRANURD3P ,11628.61
360070,225 DV-208/120 3PH PAD,PAD 225 KVA 14400X7200 208/120 3PH W/ TAPS +/- 5%,GEP01,3TRANURD3P ,11099.07
360071,300 DV-208/120 3PH PAD,PAD 300 KVA 14400X7200 208/120 3PH,ERM02,3TRANURD3P ,12708.48
360073,750 DV-208/120 3PH PAD,PAD 750 KVA 14400X7200 208/120 3PH,GEP01,3TRANURD3P ,38229.63
360074,1000 DV-208/120 3PH PAD,PAD 1000 KVA 14400X7200 208/120 3PH W/ TAPS,GEP01,3TRANURD3P ,55150.62
360077,112.5 DV-480/277 3PH PAD,PAD 112.5 KVA 14400X7200 480/277 3PH W/ TAPS +/- 2.5%,ERM02,3TRANURD3P ,8597.53
360078,150 DV-480/277 3PH PAD,PAD 150 KVA 14400X7200 480/277 3PH,ERM02,3TRANURD3P ,11751.23
360080,300 DV-480/277 3PH PAD,PAD 300 KVA 14400X7200 480/277 3PH,ERM02,3TRANURD3P ,13371.99
