360001,RISER 2 STR CU 500FT NRR,2 AWG CU 7 STR XLP RISER 500FT NRR,SER02,3WIRERISER ,23,3.03
360002,RISER 2/0 STR CU 500FT NRR,2/0  CU 19 STR XLP RISER 500FT NRR,NEH02,3WIRERISER ,78,3.73
360003,RISER 4/0 STR CU 500FT NRR,4/0  CU 19 STR XLP RISER 500FT NRR,NEH02,3WIRERISER ,76,5.70
360004,RISER 500 STR CU 500FT NRR,500 AWG CU 37STR RISER 500FT NRR,NEH02,3WIRERISER ,78,13.18
360004,500 CU STR THHN 500FT,500 MCM CU 37STR THHN 600V BLACK 500FT NRR,CME02,3WIRE600VC ,21,13.23
360009,274FT,FEED-THRU LOADBREAK 25KV 200A,THO05,3MLDRUBBER ,150,143.81
360014,DELGADO 1000FT NRR,4 AWG AL DUPLEX FULL NEU URD 1000FT NRR,CME02,3WIREUDSEC ,280,.44
360016,1/0 25KV AL 1C TRXLP FCN 2500,1/0 25KV AL STR TRXLP 260MIL FCN 2500FT NRR,CME02,3WIREMV    ,63,3.74
360017,4/0 25KV AL 1C TRXLP 1/3N 2500,4/0 25KV AL STR TRXLP 260MIL 1/3N 2500FT NRR,CME02,3WIREMV    ,365,3.65
360018,8452,CABLE SEALING KIT 15KV #2-4/0 25KV #2-2/0 35KV #2-1/0,3M002,3TERMINATO ,14,18.27
360019,274J3,JUNCTION 25KV 3 POINT WITH STAINLESS STEEL BRACKET,THO05,3MLDRUBBER ,119,482.04
360020,274J3-5,JUNCTION 25KV 3 POINT WITH STRAP,THO05,3MLDRUBBER ,150,212.83
360021,274J4-5,JUNCTION 25KV 200A 4 POINT W/ STRAP [NEW CAT # 274J4(1)-5],THO05,3MLDRUBBER ,230,290.72
360021,LJ225C4B,JUNCTION 25KV 4 POINT WITH SS BRACKET,COO02,3MLDRUBBER ,91,280.60
360023,2701A4,BUSHING INSERT LOADBREAK 25KV,THO05,3MLDRUBBER ,141,38.65
360024,276LR-CC5240,ELBOW LOADBREAK 25KV 1/0 0.80 -1.06  W/ TEST PT,THO05,3MLDRUBBER ,14,46.88
360024,262LR-C5240,ELBOW LOADBREAK 25KV 1/0 0.80 -1.06 W/ TEST PT,THO05,3MLDRUBBER ,161,42.56
360025,262LR-D5270,ELBOW LOADBREAK 25KV 4/0 STR W/ TEST POINT,THO05,3MLDRUBBER ,219,45.49
360027,K650ETP,PLUG REDUCING TAP 600A DEADBREAK TO 200A LOADBREAK 25KV,THO05,3MLDRUBBER ,37,177.46
360028,272SOP,STAND PARKING 25KV,THO05,3MLDRUBBER ,110,70.00
360029,DT625T,T-BODY 600A 25KV W/ TEST POINT,COO02,3MLDRUBBER ,63,63.74
360030,273DRG,CAP INSULATED PROTECTIVE 25KV W/ GROUND LEAD [NEW PN: 273DRG(3)],THO05,3MLDRUBBER ,84,35.84
360030,PLPC225,CAP INSULATING 25KV 200A,COO02,3MLDRUBBER ,91,39.30
360031,DPC625X,CAP INSULATING 25KV 600A INDIVIDUALLY PACKED,COO02,3MLDRUBBER ,63,64.40
360031,K656DR,CAP INSULATING 15/25 KV 600A W/ TEST POINT & STUD,THO05,3MLDRUBBER ,14,81.86
360033,164J4-5,JUNCTION 15KV 4 POINT WITH STRAPS,THO05,3MLDRUBBER ,181,165.16
360037,CSTO-282J-CP2-6,TERMINATOR COLD SHRINK 1/0 15/25 KV,TYC02,3TERMINATO ,21,64.76
360038,K655LR-J0270,KIT URD T-BODY 600AMP FOR 4/0 MCM 25KV 260MIL COMP,THO05,3MLDRUBBER ,109,165.94
360039,273ESA-18,ARRESTER ELBOW 18KV (25KV INTERFACE),THO05,3ARRESTURD ,126,131.59
360040,BMSSE183030SP-121,ENCLOSURE SECTIONALIZING 1PH 18D X 30W X 30H 14GA STEEL,BAR04,3STEELENCL ,90,516.86
360042,BMSSE226630TPH-121,ENCLOSURE SECTIONALIZING 3PH 22D X 66W X 30H 12GA STEEL,BAR04,3STEELENCL ,70,1023.44
360048,WOFFORD 500QUAD 1000FTNRR,500 MCM AL QUAD 500-500-500-350 URD 1000FT NRR,CME02,3WIREUDSEC ,280,4.62
360049,RUTGERS 1000FT NRR,350 MCM AL 37STR XLP USE-2 1 COND 1000FT 32X24 NRR,CME02,3WIREUDSEC ,98,.90
360052,500 25KV AL 1C EPR 1/3N 2500,500 25KV AL STR EPR 260MIL 1/3N 16 #12 2500FT NRR,CME02,3WIREMV    ,335,11.88
360053,NOTRE DAME 1500FT NRR,1/0 AWG AL QUAD 1/0-1/0-1/0-2 URD 1500FT 48X28X24 NRR,CME02,3WIREUDSEC ,260,1.42
360054,WAKEFOREST 1500FT NRR,4/0 AWG AL QUAD 4/0-4/0-4/0-2/0 URD 1500FT 54X32X24 NRR,CME02,3WIREUDSEC ,260,4.04
360054,WAKE FOREST 1000FT NRR,4/0 AWG AL QUAD 4/0-4/0-4/0-2/0 URD 1000FT 50X32X24 NRR,CME02,3WIREUDSEC ,260,2.57
360056,SWEETBRIAR 1000FT NRR,4/0 AWG AL TRIPLEX 4/0-4/0-2/0 URD 1000FT 42X26X18 NRR,CME02,3WIREUDSEC ,56,2.61
360058,PVI42-386-12-9,INSULATED DEADFRONT PDMNT 4 WAY SWITCHGEAR 3 PHASE 25KV 125KV BIL,GWE02,3SWITCHURD ,42,.00
360060,25 DV-240/120 PAD,PAD 25 KVA 14400X7200 240/120 1PH,GEP01,3TRANURD1P ,63,2027.14
360062,50 DV-240/120 PAD,PAD 50 KVA 14400X7200 240/120 1PH,GEP01,3TRANURD1P ,63,2623.80
360063,75 DV-240/120 PAD,PAD 75 KVA 14400X7200 240/120 1PH,GEP01,3TRANURD1P ,63,3045.43
360064,100 DV-240/120 PAD,PAD 100 KVA 14400X7200 240/120 1PH,GEP01,3TRANURD1P ,63,3408.13
360065,167 DV-240/120 PAD,PAD 167 KVA 14400X7200 240/120 1PH,GEP01,3TRANURD1P ,63,4621.15
360067,75 DV-208/120 3PH PAD,PAD 75 KVA 14400X7200 208/120 3PH,ERM02,3TRANURD3P ,217,8910.69
360068,112.5 DV-208/120 3PH PAD,PAD 112.5 KVA 14400X7200 208/120 3PH W/ TAPS +/- 2.5%,GEP01,3TRANURD3P ,63,8358.02
360069,150 DV-208/120 3PH PAD,PAD 150 KVA 14400X7200 208/120 3PH,ERM02,3TRANURD3P ,224,11807.84
360070,225 DV-208/120 3PH PAD,PAD 225 KVA 14400X7200 208/120 3PH W/ TAPS +/- 5%,GEP01,3TRANURD3P ,63,11099.07
360071,300 DV-208/120 3PH PAD,PAD 300 KVA 14400X7200 208/120 3PH,ERM02,3TRANURD3P ,228,12708.48
360072,500 DV-208/120 3PH PAD,PAD 500 KVA 14400X7200 208/120 3PH W/ TAPS 2 @ +/- 2.5%,ERM02,3TRANURD3P ,224,12766.86
360073,750 DV-208/120 3PH PAD,PAD 750 KVA 14400X7200 208/120 3PH,GEP01,3TRANURD3P ,63,11991.36
360074,1000 DV-208/120 3PH PAD,PAD 1000 KVA 14400X7200 208/120 3PH W/ TAPS,GEP01,3TRANURD3P ,63,55150.62
360075,1500 DV-208/120 3PH PAD,PAD 1500 KVA 14400X7200 208/120 3PH,GEP01,3TRANURD3P ,63,70859.26
360076,75 DV-480/277 3PH PAD,PAD 75 KVA 14400X7200 480/277 3PH,ERM02,3TRANURD3P ,224,11114.81
360077,112.5 DV-480/277 3PH PAD,PAD 112.5 KVA 14400X7200 480/277 3PH W/ TAPS +/- 2.5%,ERM02,3TRANURD3P ,224,8597.53
360078,150 DV-480/277 3PH PAD,PAD 150 KVA 14400X7200 480/277 3PH,ERM02,3TRANURD3P ,229,11751.23
360079,225 DV-480/277 3PH PAD,PAD 225 KVA 14400X7200 480/277 3PH W/ TAPS 2 @ +/- 2.5%,GEP01,3TRANURD3P ,63,11046.88
360080,300 DV-480/277 3PH PAD,PAD 300 KVA 14400X7200 480/277 3PH,ERM02,3TRANURD3P ,229,12582.80
360081,500 DV-480/277 3PH PAD,PAD 500 KVA 14400X7200 480/277 3PH,ERM02,3TRANURD3P ,224,20051.85
360082,750 DV-480/277 3PH PAD,PAD 750 KVA 14400X7200 480/277 3PH,ERM02,3TRANURD3P ,224,27103.19
360083,1000 DV-480/277 3PH PAD,PAD 1000 KVA 14400X7200 480/277 3PH,ERM02,3TRANURD3P ,233,26548.14
360084,1500 DV-480/277 3PH PAD,PAD 1500 KVA 14400X7200 480/277 3PH W/ TAPS +/-  5%,ERM02,3TRANURD3P ,224,31663.95
360085,2000 DV-480/277 3PH PAD,PAD 2000 KVA 14400X7200 480/277 3PH W/ TAPS +/- 2.5%,GEP01,3TRANURD3P ,63,29489.38
