360004,BARE CU 500 37STR SD 500FT,500 MCM BARE SD CU 37STR 500FT NRR (SW PN: BST37S500),SER02,3WIREBAREC ,16,6.81
360004,RISER 500 STR CU 500FT NRR,500 AWG CU 37STR RISER 500FT NRR,NEH02,3WIRERISER ,78,12.94
3600112,215LE58T,LOADBREAK ELBOW 15KV 200A 4/0 STR  W/ TEST POINT,CIT05,3MLDRUBBER ,1,62.96
360013,162LR-C5240,ELBOW LOADBREAK 15KV 1/0 STR 0.805 - 1.06 W/TEST POINT,THO05,3MLDRUBBER ,210,41.35
360014,DELGADO 1000FT NRR,4 AWG AL DUPLEX FULL NEU URD 1000FT NRR,CME02,3WIREUDSEC ,280,.46
360015,161SOP,STAND PARKING 15KV,THO05,3MLDRUBBER ,66,40.88
360017,4/0 25KV AL 1C EPR 1/3N 2500,4/0 25KV AL STR EPR 260MIL 1/3N 2500FT NRR,CME02,3WIREMV    ,343,8.81
360019,228J3B,JUNCTION 28KV 200A 3 POINT WITH BRACKET,CIT05,3MLDRUBBER ,1,355.85
360019,274J3,JUNCTION 25KV 3 POINT WITH STAINLESS STEEL BRACKET,THO05,3MLDRUBBER ,210,482.04
360021,274J4,JUNCTION 25KV 4 POINT WITH SS BRACKET,THO05,3MLDRUBBER ,210,404.33
360023,2701A4,BUSHING INSERT LOADBREAK 25KV,THO05,3MLDRUBBER ,249,41.83
360024,262LR-C5240,ELBOW LOADBREAK 25KV 1/0 0.80 -1.06 W/ TEST PT,THO05,3MLDRUBBER ,155,54.08
360024,276LR-CC5240,ELBOW LOADBREAK 25KV 1/0 0.80 -1.06  W/ TEST PT,THO05,3MLDRUBBER ,14,46.88
360025,262LR-D5270,ELBOW LOADBREAK 25KV 4/0 STR W/ TEST POINT,THO05,3MLDRUBBER ,219,54.81
360027,K650ETP,PLUG REDUCING TAP 600A DEADBREAK TO 200A LOADBREAK 25KV,THO05,3MLDRUBBER ,37,177.68
360028,272SOP,STAND PARKING 25KV,THO05,3MLDRUBBER ,110,76.01
360030,273DRG,CAP INSULATED PROTECTIVE 25KV W/ GROUND LEAD [NEW PN: 273DRG(3)],THO05,3MLDRUBBER ,84,39.35
360030,PLPC225,CAP INSULATING 25KV 200A,COO02,3MLDRUBBER ,85,40.73
360031,DPC625X,CAP INSULATING 25KV 600A INDIVIDUALLY PACKED,COO02,3MLDRUBBER ,63,64.40
360032,625BTL33J,T-BODY KIT 25KV 600A W/ TEST POINT W SK,CIT05,3MLDRUBBER ,1,198.23
360034,MB-5,BRACKET TERMINATOR FOR 1.45-1.95 CABLE OD,3M002,3TERMINATO ,28,48.03
360036,83-50C137P145,TERMINATION KIT 25KVA 500MCM AL,GWE02,3TERMINATO ,7,408.59
360037,7652-S-4-1/0-GUS,TERMINATOR COLD SHRINK 15/25KV 1/0 CONNECTOR W/ BRKT & RISER BOOT,3M002,3TERMINATO ,7,178.53
360037,CSTO-282J-CP2-6,TERMINATOR COLD SHRINK 1/0 15/25 KV,TYC02,3TERMINATO ,35,65.80
360038,K655LR-J0270,KIT URD T-BODY 600AMP FOR 4/0 MCM 25KV 260MIL COMP,THO05,3MLDRUBBER ,56,165.94
360039,225ELA18,ARRESTER ELBOW 18KV (25KV INTERFACE),BOD02,3ARRESTURD ,14,178.05
360039,273ESA-18,ARRESTER ELBOW 18KV (25KV INTERFACE),THO05,3ARRESTURD ,119,155.53
360042,BMSSE226630TPH-121,ENCLOSURE SECTIONALIZING 3PH 22D X 66W X 30H 12GA STEEL,BAR04,3STEELENCL ,101,1056.75
360044,MB-6,BRACKET TERMINATOR FOR 1.80-2.40 CABLE OD,3M002,3TERMINATO ,14,60.42
360046,27-GLASS CLOTH TAPE,TAPE GLASS CLOTH CLASS B INSULATION 3/4IN X 66FT,3M002,3TAPE      ,14,12.14
360047,77-3INX20FT,TAPE ELECTRICAL 3INX20FT BLK,3M002,3TAPE      ,14,27.09
360048,WOFFORD 500QUAD 1000FTNRR,500 MCM AL QUAD 500-500-500-350 URD 1000FT NRR,CME02,3WIREUDSEC ,280,4.62
360048,WOFFORD 500QUAD 500FTNRR,500 MCM AL QUAD 500-500-500-350 URD 500FT NRR,HOU03,3WIREUDSEC ,14,6.62
360049,RUTGERS 1000FT NRR,350 MCM AL 37STR XLP USE-2 1 COND 1000FT 32X24 NRR,CME02,3WIREUDSEC ,98,2.96
360050,CP74002PPPB,SECTIONALIZER 27KV 125KV BIL PROGRAMMABLE 10A - 480A 3 COUNT STD W/POLY MOUNTING ASSY,ARK05,3SECTIONAL ,42,1313.72
360052,500 25KV AL 1C EPR 1/3N 2500,500 25KV AL STR EPR 260MIL 1/3N 16 #12 2500FT NRR,CME02,3WIREMV    ,335,11.88
360052,500 25KV CU 1C EPR 1/3-ZN11407,500 25KV CU STR EPR 260MIL 1/3N NRR,CIT05,3WIREMV    ,365,.00
360052,500 25KV CU 1C EPR 1/3N 2500,500 25KV CU STR EPR 260MIL 1/3N NRR,CME02,3WIREMV    ,96,12.72
360054,WAKE FOREST 1000FT NRR,4/0 AWG AL QUAD 4/0-4/0-4/0-2/0 URD 1000FT 50X32X24 NRR,CME02,3WIREUDSEC ,133,2.81
360056,SWEETBRIAR 1000FT NRR,4/0 AWG AL TRIPLEX 4/0-4/0-2/0 URD 1000FT 42X26X18 NRR,CME02,3WIREUDSEC ,315,3.61
360057,PA21-P302,INTERRUPTER SINGLE PHASE PADMOUNT SWITCH 25KV 800AMP,RYA03,3SWITCHURD ,182,13370.37
360057,PS20-186-10-4FA,SWITCHGEAR PADMOUNT 25KV 125BIL 200AMP CONTINUOUS,GWE02,3SWITCHURD ,140,12211.11
360058,PVI42-386-12-9,INSULATED DEADFRONT PDMNT 4 WAY SWITCHGEAR 3 PHASE 25KV 125KV BIL,GWE02,3SWITCHURD ,147,45091.36
360059,PVI43-386-12-11,INSULATED DEADFRONT PDMNT 3 WAY 1 LOAD SWITCH 27KV 125KV BIL SF6,RYA03,3SWITCHURD ,175,53286.42
360062,50 DV-240/120 PAD,PAD 50 KVA 14400X7200 240/120 1PH,GEP01,3TRANURD1P ,63,2808.70
360063,75 DV-240/120 PAD,PAD 75 KVA 14400X7200 240/120 1PH,GEP01,3TRANURD1P ,63,3152.98
360067,75 DV-208/120 3PH PAD,PAD 75 KVA 14400X7200 208/120 3PH,ERM02,3TRANURD3P ,217,8910.69
360071,300 DV-208/120 3PH PAD,PAD 300 KVA 14400X7200 208/120 3PH,ERM02,3TRANURD3P ,228,12708.48
360075,1500 DV-208/120 3PH PAD,PAD 1500 KVA 14400X7200 208/120 3PH,GEP01,3TRANURD3P ,63,70859.26
360079,225 DV-480/277 3PH PAD,PAD 225 KVA 14400X7200 480/277 3PH W/ TAPS 2 @ +/- 2.5%,GEP01,3TRANURD3P ,63,11046.88
360080,300 DV-480/277 3PH PAD,PAD 300 KVA 14400X7200 480/277 3PH,ERM02,3TRANURD3P ,229,13371.99
360081,500 DV-480/277 3PH PAD,PAD 500 KVA 14400X7200 480/277 3PH,ERM02,3TRANURD3P ,224,20319.34
360084,1500 DV-480/277 3PH PAD,PAD 1500 KVA 14400X7200 480/277 3PH W/ TAPS +/-  5%,ERM02,3TRANURD3P ,224,31663.95
360085,2000 DV-480/277 3PH PAD,PAD 2000 KVA 14400X7200 480/277 3PH W/ TAPS +/- 2.5%,GEP01,3TRANURD3P ,63,69272.84
360087,25 DV-120/240 1B,CONV 25 KVA 14400X7200 120/240 1 BUSHING,GEP01,3TRANOH    ,63,1191.30
360087,25 DV-120/240 2B,CONV 25 KVA 14400X7200 120/240 2 BUSHING,GEP01,3TRANOH    ,63,1346.39
360088,37.5 DV-120/240 2B,CONV 37.5 KVA 14400X7200 120/240 2 BUSHING,GEP01,3TRANOH    ,63,1389.86
360089,50 DV-120/240 2B ARR TAPS SPD,CONV 50 KVA 14400X7200 120/240 2 BUSHING W/ ARRESTER TAPS SPADES,GEP01,3TRANOH    ,63,.00
360089,50 DV-120/240 2B-ZU11407,50 14400X7200 120/240 2 BUSHING,CIT05,3TRANOH    ,365,.00
360090,75 DV-120/240 2B-ZU11407,75 14400X7200 120/240 2 BUSHING W/ TAPS SPADE,CIT05,3TRANOH    ,365,.00
360091,100 DV-120/240 2B-ZU11407,100 14400X7200 120/240 2 BUSHING,CIT05,3TRANOH    ,365,.00
360092,167 DV-120/240 2B TAPS SPD,CONV 167 KVA 14400X7200 120/240 2 BUSHING W/ 4H SPADES,ERM02,3TRANOH    ,70,3904.94
360093,25 DV-277/480 2B ARR,CONV 25 KVA 14400X7200 277/480 2 BUSHING W/ 18KV ARRESTER,GEP01,3TRANOH    ,63,1225.10
360093,25 DV-277/480 2B-ZU11407,25 14400X7200 277/480 2 BUSHING,CIT05,3TRANOH    ,365,.00
360096,75 DV-277/480 2B,CONV 75 KVA 14400X7200 277/480 2 BUSHING,ERM02,3TRANOH    ,107,2064.47
360096,75 DV-277/480 2B ARR SPD,CONV 75 KVA 14400X7200 277/480 2 BUSHING W/ 18KV ARRESTER & 4H SPADES,GEP01,3TRANOH-A  ,63,1683.77
360096,75 DV-277/480 2B SPD-ZU11407,75 14400X7200 277/480 2 BUSHING W/ SPADE,CIT05,3TRANOH    ,365,.00
360100,CSW6500SLC,CONNECTOR TRAN STUD 1"STUD 6-OUT #6-500MCM W/BOOT,THO05,3CONNURDSE ,7,24.28
360102,75 DV-240/480 2B,CONV 75 KVA 14400X7200 240/480 2 BUSHING,GEP01,3TRANOH    ,63,2065.19
360102,75 DV-240/480 2B TAPS SPD,CONV 75 KVA 14400X7200 240/480 2 BUSHING W/ TAPS SPADES,GEP01,3TRANOH    ,63,.00
360104,6170000-21 STAMPED COG,SEAL METER PLASTIC MAROON STAMPED CITY OF GEORGETOWN SEQ NUMBERED,BRO20,3SEALS     ,120,.00
